type,description,adiabatic index,density kg/m^3,force J/kg,covolume m^3/kg,pressure exponent,burnrate coefficient m/s/Pa^n,isochoric adb flame temp K
IMR 4227,Single Base Coated\nADA 086093\n*89.72% Nitrocellulose (13.15%N)\n  6.74% Dinitrotoluene\n  0.84% Diphenylamine\n  0.73% Potassium sulfate\n----- others,1.245,1552,1000700,1.040e-3,0.8053,2.3306e-08,2878
IMR 4350,Single Base Coated\nADA 086093\n*91.56% Nitrocellulose (13.15%N)\n  4.80% Dinitrotoluene\n  0.85% Diphenylamine\n  0.73% Potassium sulfate\n----- others,1.242,1553,1009000,1.031e-3,0.8053,2.3912e-08,2927
IMR 8138M,Single Base Coated\nADA 086093\n*92.96% Nitrocellulose (13.15%N)\n  3.60% Ethylene Dimethacrylate\n  0.89% Diphenylamine\n  0.69% Potassium sulfate\n----- others,1.245,1534,984500,1.034e-3,0.8053,2.254e-08,2816
IMR 4895,Single Base Coated\nADA 086093\n*88.99% Nitrocellulose (13.15%N)\n  7.55% Dinitrotoluene\n  0.93% Potassium sulfate\n  0.78% Diphenylamine\n----- others,1.245,1553,998700,1.039e-3,0.8053,2.3257e-08,2874
IMR 5010,Single Base Coated\nADA 086093\n*88.27% Nitrocellulose (13.15%N)\n  8.76% Dinitrotoluene\n  0.64% Potassium sulfate\n  0.55% Diphenylamine\n----- others,1.246,1551,1002000,1.043e-3,0.8053,2.3195e-08,2869
CMR-160,Single Base Coated\nADA 086093\n*95.77% Nitrocellulose (13.15%N)\n  2.43% Methylcentralite\n  0.84% Potassium sulfate\n  0.73% Diphenylamine\n----- others,1.247,1554,974600,1.039e-3,0.8053,2.2045e-08,2776
SPD (USN),"US Navy single-base smokeless powder, diphenylamine stabilized (adopted 1908).\nEffective definition calibrated to reproduce 16in/50 Mk7 full-charge service ballistics: 2700 lb Mk8 APCBC, 660 lb charge, 762 m/s at 18.5 long ton/in2 peak breech.\nForce, covolume and gamma adopted from single-base NC literature; burn-rate coefficient calibrated, pressure exponent assumed 0.949.\nWeb-size estimator (grain web from gun geometry; travel-length convention): web[mm] = 0.263*(travel/MV[ms])^0.97 * ld^0.64, ld = charge/chamber [kg/dm3]; expansion-ratio factor dropped (collinear with ld, r=0.97). Leave-one-out CV 4.6%. Apply a 0.5 mm web floor: below it the grain burns out in <5% of travel (web becomes ballistically meaningless) and it is finer than the smallest historical web (SPD 5in/25, 0.72 mm). This floor only binds for SPD on small or short-barrel guns; the cordite estimators clear it on their own.",1.25,1600,994230,1.0e-3,0.949,1.0704e-9,2500
Cordite MD,"RN double-base cordite, Modified (adopted 1901): 65% nitrocellulose / 30% nitroglycerin / 5% mineral jelly.\nForce from cordite literature: heat of explosion ~1020 cal/g (water liquid) -> Q_v ~4.0 MJ/kg; F = (gamma-1)*Q_v ~1.04 MJ/kg.\nValidated against the RN 15in/42 Mk I in cord form (solid-cylinder grain, SimpleGeometry.CYLINDER): 869.5 kg shell, 194 kg charge -> 752 m/s at ~312 MPa. Reproduced under the full-bore-length convention (length_gun = bore length), which supplies the expansion this low-load-density (386 kg/m3) gun needs; under travel geometry the model is efficiency-limited and over-demands force.\nBurn-rate coefficient calibrated to known MD cord diameters (5.5in/50 -> MD19 = 4.83 mm; 6in/50 Mk XI/XIII/XVII -> MD26 = 6.60 mm; 12in/45 Mk X -> MD45 = 11.43 mm): u_1 = 9.5e-9 reproduces these cords when web is fit to MV (6in/50 within 0-3%), where the prior 8.0e-9 (from MV-only fits) gave cords ~15-30% thin. Pressure fit is unchanged (u_1-invariant under web-to-MV fitting). Force needs no gradient (unlike SC): per-gun force at the real cords clusters at 1.03 +/- 0.04 MJ/kg with no load-density trend, confirming the thermochemical 1.04.\nWeb-size estimator (full-bore convention): web[mm] = 31.8*(travel/MV[ms])^0.92 * E^-1.11 * ld^2.03, E = (chamber+bore-swept)/chamber, ld = charge/chamber [kg/dm3]. Leave-one-out CV 11.5%; validated against the 5 real cords (RMS 10%). Shared 0.5 mm web floor (defined under SPD) never binds for MD - predictions stay well above 1 mm.",1.26,1560,1040000,1.0e-3,0.90,9.5e-9,3217
Cordite SC,"RN solventless cordite (adopted 1927): 49.5% nitrocellulose / 41.5% nitroglycerin / 9% centralite.\nHeadline force 1.02 MJ/kg, validated full-bore/cord against RN guns 4in-16in: reproduces the 15in/42 (SC280) and 14in/45 (SC300) within ~2%, and fits an 11-gun fleet to RMS ~9% on working pressure (web fit to MV).\nBest fleet fit uses a load-density trend F[MJ/kg] = 0.71 + 7.0e-4*(charge/chamber, kg/m3), RMS ~7% (denser loadings want more effective impetus). Nearly equal to Cordite MD in force despite higher NG (offset by less NC, more inert centralite). T_v 3090 K (external source, cooler than MD 3217 K) sets only the temperature readout.\nWeb-size estimator (full-bore convention): web[mm] = 20.3*(travel/MV[ms])^1.05 * E^-1.08 * ld^2.83, E = (chamber+bore-swept)/chamber, ld = charge/chamber [kg/dm3]. Leave-one-out CV 8.2% (E and ld a collinear pair). Shared 0.5 mm web floor (defined under SPD) never binds for SC - predictions stay >= 1 mm.",1.25,1600,1020000,1.0e-3,0.90,5.1e-9,3090
DC (IJN),"Japanese naval cordite DC: moderated double-base based on German RP/C12, cord (solid-cylinder) form. Cord designation = diameter in units of 0.1 mm (36DC = 3.6 mm, 85DC = 8.5 mm, 110DC = 11.0 mm) = model web.\nCalibrated full-bore (chi=1.1) against an 8-gun fleet (10cm/65 Type 98 .. 46cm/45 Type 94) with MV + pressure, three with known cords (15.5cm/60 36DC, 35.6cm/45 85DC, 46cm/45 110DC). Force 1.00 MJ/kg, u_1 4.2e-9 (web fit to MV): peak-breech pressure across the fleet sits at mean +3.5%, RMS 8% vs quoted; the 46cm/45 Type 94 flagship lands within -2% on cord and -5% on pressure. 'Moderated' shows up as a low burn-rate coefficient (u_1 4.2e-9, slowest of the cordites vs SC 5.1, MD 9.5), not low energy - force is normal-cordite ~1.0. Pressure data fixes force here: the initial 3-gun fit (force 0.95) over-predicted the wider fleet by ~+14%; the under-charged older guns (35.6cm/45 41st Yr, 41cm/45 3rd Yr) need the higher force to reach MV with realistic cords. The 35.6cm/45 stays an outlier (its 85DC cord runs ~25-30% thicker than the model wants) - likely an older lot or soft figures. T_v ~3000 K (readout only). Density, covolume, theta (0.25), pressure exponent (0.90) from the cordite family.\nWeb-size estimator (full-bore convention): web[mm] = 3.01*(travel/MV[ms])^0.96 * ld^2.98, ld = charge/chamber [kg/dm3]. Leave-one-out CV 10.3%; the expansion-ratio lever adds little here (full tMV*E*ld -> 9.8%) so it is dropped. Predicts the reliable cords well (15.5cm/60 +5%, 46cm/45 -4%); the 35.6cm/45 calibration outlier is -26%. Shared 0.5 mm web floor never binds (DC webs >= 1.5 mm).",1.25,1600,1000000,1.0e-3,0.90,4.2e-9,3000
RP C/12 (DE),"German tube powder (Roehrenpulver) C/12, Konstruktionsjahr 1912: double-base, ~64% nitrocellulose / 30% nitroglycerin / 6% centralite. TUBE form (SimpleGeometry.TUBE): model web = wall thickness = (D_ext - D_int)/2, so the 18/8 mm tubes used by the capital guns give web 5.0 mm; r2 = tube_length/web (near-neutral burn).\nCalibrated TRAVEL convention (length_gun = bore - chamber/chi): these guns run very high load density (0.63-0.77 kg/dm3), so the lumped model is efficient and wants the honest travel geometry, not the full-bore expansion fudge used for low-density cordite. Force 0.96 MJ/kg, u_1 4.1e-9 from five capital guns with known 18/8 tubes (38cm/45, 35.5cm/45, 30.5cm/50, 28.3cm/50, 28.3cm/45): web fit to MV reproduces the real 5.0 mm wall within +/-6% and peak-breech pressure within +/-5%. Full 8-gun fleet (down to 8.8cm/45): pressure mean +5.5%, RMS 9% - the small guns (unknown thin tubes) over-predict ~+14-18% (thin-web bias). T_v ~3000 K (readout). Density, covolume, theta (0.25), n (0.90) from the double-base family.\nWeb-size estimator (travel convention, predicts tube wall): web[mm] = 3.95*(travel/MV[ms])^1.01 * E^-1.00 * ld^1.72, E = (chamber+bore-swept)/chamber, ld = charge/chamber [kg/dm3]. Leave-one-out CV 2.0% - needs all three levers (E and ld are a suppressor pair; tMV*ld alone ~13%). With only 8 guns the E/ld split is less certain than the larger fleets, but the combined prediction cross-validates well and reproduces the 18/8 wall (5.0 mm) within +/-6% on the capital guns. Shared 0.5 mm web floor never binds (RP C/12 webs >= 1.6 mm).",1.25,1600,960000,1.0e-3,0.90,4.1e-9,3000
RP C/32 (DE),"German diglycol tube powder (Gudol) RP C/32, Konstruktionsjahr 1932, with the closely related C/34/C/38: 'cold' low-erosion double-base (nitrocellulose + diethylene-glycol dinitrate) that let WWII Kriegsmarine guns reach 900-960 m/s with long barrel life. TUBE form (SimpleGeometry.TUBE): model web = wall = (D_ext - D_int)/2, e.g. 22/11 -> 5.5, 16/7 -> 4.5, 18/10 -> 4.0, 12/5 -> 3.5, 11/5.75 -> 2.6 mm; r2 = tube_length/web.\nCalibrated TRAVEL convention (load density 0.62-0.74, as RP C/12). Force 0.99 MJ/kg, u_1 3.3e-9 (slow-burning, even below C/12's 4.1) from six guns with known tube walls (40.6cm/52 SK C/34 down to 14.9cm/60 SK C/25). Web fit to MV reproduces the real walls within +/-11% and peak-breech pressure to mean -0.3%, RMS 3.7% across the 7-gun fleet (incl 10.5cm/65) - the tightest fit of the custom set. No force split between the C/38 capital guns and the C/32 secondaries. T_v ~2600 K (diglycol is cold; readout only - low flame temp with low-molar-mass products still gives force ~1.0). Density, covolume, theta (0.25), n (0.90) from the family.\nWeb-size estimator (travel convention, predicts tube wall): web[mm] = 2.41*(travel/MV[ms])^0.99 * E^-0.81 * ld^1.62, E = (chamber+bore-swept)/chamber, ld = charge/chamber [kg/dm3]. Leave-one-out CV 2.9% (full three-lever; here E is the clean second lever, while tMV*ld alone is unstable - tMV and ld collinear at r=-0.85). Reproduces the real tube walls within +/-11% (RMS 6%). With 7 guns the exponents are less certain than the larger fleets. Shared 0.5 mm web floor never binds (RP C/32 webs >= 1.6 mm).",1.25,1600,990000,1.0e-3,0.90,3.3e-9,2600
